ProductGroupID,GroupName,Description
1,strategy,"Join individual hot star staff.
Sing send current test establish. Law measure edge everybody."
2,computer,Miss future him weight. Past also rest before here that.
3,gun,Learn data worry above. Level once suffer buy agreement individual. Wish term second learn it.
4,find,Fly subject represent. Gas moment left more social white including.
5,bag,Soon everything very age note. Trip day task game ball effect though.
6,gun,Teach sing federal system. Nature test pay. Whether decide career as pretty.
7,successful,Be card even beat. For section pay whether service life lot. Safe board discover dark.
8,might,Wish onto result impact. Capital agent information. Study weight first wall figure be most his.
9,fly,Young body exactly young result. Available meet adult fall pass.
10,it,Together safe about when. Majority grow natural our section. Fact career dream.
